title,description,location,features,date,price
asus tuf vg27a 280hz open box totally new,asus tuf vg27a 280hz open box totally new,2021-09-21T05:14:14+0000,"₹ 26,499"
Hp loptop cori 5,"Laptop hp good condition, Ram 4 bf Hard drive 500 gb  Propuse of sell need money  Price 14000",2021-09-21T05:02:39+0000,"₹ 14,000"
HP 15 Pentium Gold 6405U 4GB/1TB,"Model HP 15 Pentium Gold Awesome sound quality 15.6"" Full size HD Screen Intel Pentium Gold 6405U 10th gen processor 1 TB HDD 4GB DDR4 RAM 2GB Intel HD Graphics HD Webcam Battery backup 5-6 hours Wi-fi and Bluetooth connectivity USB 3.1 and type C ports HDMI port Windows 10 Original Microsoft Office Suite Excel Never repaired till now Everything is working smoothly condition is new Available with adapter and bill  2-3 months used within warranty period Best suitable for school and college students",2021-09-21T04:21:14+0000,"₹ 18,000"
"Dell Laptop with i7 processor, 16GB RAM, 500 GB SSD etc",Dell Vostro 15 3558 P52F Laptop  I had purchased it in 2016.  Specifications  I7  16 GB Ram  2 TB Hard disk  500 GB SSD  2 GB Graphics Card,2021-09-21T04:13:24+0000,"₹ 32,000"
Toshiba laptop,Selling my toshiba laptop gen 5 hd 1tb,2021-09-21T03:32:08+0000,"₹ 10,500"
Ryzen 5 2400g 16gb ram 2tb hdd Gamin Cabinet full rgb with glass panel,Ryzen 5 2400 16gb ram ddr4  2tb hdd Antect full rgb cabinet with glass panel.   550watt psu  Everything is in warranty expect hdd With bill and box,2021-09-21T03:15:50+0000,"₹ 34,999"
Apple MacBook Pro,New condition billing date 13/09/2021 only what's up Dont call only or only what's up,2021-09-21T03:06:48+0000,"₹ 1,85,000"
Computer sale,"Core2dual, DDR 3 -2gb ram, 14""led screen, 320gb. Hard disk..with keyboard mouse.",2021-09-21T02:17:24+0000,"₹ 6,000"
Mobile counter table emergency sale,Please call me,2021-09-21T01:40:38+0000,"₹ 1,500"
BENQ XL2546,"BENQ XL2546 (monitor for e-sports) Max resolution 1920*1080  Can hit 4k resolution @ 60fps Open for a negotiation  With bill, box and all original accessories  Only genuine buyers contact",2021-09-20T23:07:56+0000,"₹ 28,000"
Dell i5 laptop,Dell i5  500gb hdd  4 gb ram  Windows 10 pro.  New bettry .all original  5 hour backup  Web cam new   Keyboard mouse along with bag,2021-09-20T19:32:23+0000,"₹ 18,000"
