,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,star,capacity,doubledoor
0,amazonbasics 564 l side-by-side door refrigerator (black glass door),49699,,https://m.media-amazon.com/images/I/71fa4e1KQsL._AC_UY218_.jpg,amazonbasics,,564.0,0
1,"candy 170 l 2 star direct-cool single door refrigerator (cdsd522170ms, moon silver)",9690,4.1,https://m.media-amazon.com/images/I/718n2Wv3inL._AC_UY218_.jpg,candy,2.0,170.0,0
2,"whirlpool 190 l 3 star direct-cool single door refrigerator (wde 205 cls 3s, blue)",12730,4.2,https://m.media-amazon.com/images/I/51HxYKRTfhL._AC_UY218_.jpg,whirlpool,3.0,190.0,0
3,"whirlpool 200 l 4 star inverter direct-cool single door refrigerator (215 icemagic pro roy 4s inv, sapphire mulia, base stand)",16230,4.2,https://m.media-amazon.com/images/I/715j2BmGiwL._AC_UY218_.jpg,whirlpool,4.0,200.0,0
4,"samsung 192 l 2 star direct cool single door refrigerator (rr19a241bgs/nl, grey silver)",13190,,https://m.media-amazon.com/images/I/81FyYXoQF-L._AC_UY218_.jpg,samsung,2.0,192.0,0
5,"samsung 230 l 3 star inverter single door refrigerator (rr24a2y2ys8/nl, elegant inox)",16790,4.2,https://m.media-amazon.com/images/I/81nRR-MTPDL._AC_UY218_.jpg,samsung,3.0,230.0,0
6,"samsung 225 l 4 star inverter direct cool single door refrigerator(rr23a2f3x9u/hl, paradise blue, base stand with drawer, digi-touch cool)",19990,,https://m.media-amazon.com/images/I/81XbI3uVAFL._AC_UY218_.jpg,samsung,4.0,225.0,0
7,"samsung 253 l 3 star with inverter double door refrigerator (rt28a3453s8/hl, elegant inox)",24890,,https://m.media-amazon.com/images/I/71EZGsB-w8L._AC_UY218_.jpg,samsung,3.0,253.0,1
8,"lg 190 l 5 star inverter direct-cool single door refrigerator (gl-d201apzz, shiny steel, base stand with drawer)",16590,,https://m.media-amazon.com/images/I/51g7DtRdmIS._AC_UY218_.jpg,lg,5.0,190.0,0
9,"samsung 198 l 4 star inverter direct-cool single door refrigerator (rr21t2h2xcr/hl, camellia purple, base stand with drawer)",16750,,https://m.media-amazon.com/images/I/71DJffKcMZL._AC_UY218_.jpg,samsung,4.0,198.0,0
10,"samsung 580 l inverter frost-free french door refrigerator (rf57a5032s9/tl, refined inox, convertible)",74990,,https://m.media-amazon.com/images/I/61uVsGgl1ES._AC_UY218_.jpg,samsung,,580.0,0
11,"samsung 255 l 3 star inverter direct cool single door refrigerator(rr26t389yut/hl, pebble blue, base stand with drawer)",20390,4.2,https://m.media-amazon.com/images/I/71MgoYxgs1L._AC_UY218_.jpg,samsung,3.0,255.0,0
12,"whirlpool 190 l 2 star direct-cool single door refrigerator (wde 205 cls plus 2s, wine fiesta, toughened glass shelves)",12740,,https://m.media-amazon.com/images/I/81K5Xm6R4xL._AC_UY218_.jpg,whirlpool,2.0,190.0,0
13,"whirlpool 190 l 3 star direct-cool single door refrigerator (wde 205 cls 3s, wine)",12730,4.2,https://m.media-amazon.com/images/I/71BCyrMrs0L._AC_UY218_.jpg,whirlpool,3.0,190.0,0
14,"haier 181 l 2 star direct-cool single door refrigerator (hed-1812bks-e, black brushline)",11340,4.2,https://m.media-amazon.com/images/I/71mlSspS7OL._AC_UY218_.jpg,haier,2.0,181.0,0
15,"godrej 185 l 4 star inverter direct-cool single door refrigerator (rd uno 1854 pti aq wn, aqua wine, cool lock technology)",14290,,https://m.media-amazon.com/images/I/61cgzM661WS._AC_UY218_.jpg,godrej,4.0,185.0,0
16,"whirlpool 190 l 4 star inverter direct-cool single door refrigerator (wde 205 prm 4s inv, sapphire magnolia)",14990,,https://m.media-amazon.com/images/I/51pOcwU7HWS._AC_UY218_.jpg,whirlpool,4.0,190.0,0
17,"haier 195 l 4 star direct-cool single-door refrigerator (hed- 20cfds, dazzle steel)",14690,4.2,https://m.media-amazon.com/images/I/61DWru8Y9NL._AC_UY218_.jpg,haier,4.0,195.0,0
18,"whirlpool 190 l 2 star direct-cool single door refrigerator (wde 205 cls plus 2s, sapphire fiesta, toughened glass shelves)",12740,4.2,https://m.media-amazon.com/images/I/81draxos71L._AC_UY218_.jpg,whirlpool,2.0,190.0,0
19,"lg 190 l 4 star inverter direct-cool single door refrigerator (gl-d201ascy, scarlet charm, base stand with drawer)",16431,,https://m.media-amazon.com/images/I/71PjRr580lL._AC_UY218_.jpg,lg,4.0,190.0,0
