,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,processor,ssd,hdd,ram,graphic_card
0,"hp pavilion 14 11th gen intel core i5 14-inch (35.5 cms) thin & light fhd laptop (8gb/512gb ssd/windows 10/ms office/natural silver/1.41 kg), 14-dv0543tu",62990, ,https://m.media-amazon.com/images/I/61vQNqvHpTL._AC_UY218_.jpg,HP,intel i5,512.0,0.0,8,intel integrated
1,"hp pavilion 11th gen intel core i5 processor 14 inches fhd laptop with alexa built-in (16gb/512gb ssd/windows 10/ms office/2gb nvidia mx450 graphics/natural silver/1.41 kg), 14-dv0084tx",71990, ,https://m.media-amazon.com/images/I/71hmqIQJFdL._AC_UY218_.jpg,HP,intel i5,512.0,0.0,16,mx450
2,"dell inspiron 3502 15.6"" (39.62 cms) hd display laptop (pentium silver n5030 / 4gb / 256gb ssd / integrated graphics / win 10 + mso / accent black) d560427win9be",40126,4.2,https://m.media-amazon.com/images/I/51jPUwqQTFL._AC_UY218_.jpg,Dell,others,256.0,0.0,4,intel integrated
3,"hp chromebook 14-inch (35.56 cms) thin & light touchscreen laptop (celeron n4020/4gb/64gb emmc + 256gb expandable storage/chrome os/1.46 kgs light/ mineral silver), 14a-na0003tu",27999,3.8,https://m.media-amazon.com/images/I/613WULNEr1L._AC_UY218_.jpg,HP,intel celeron,0.0,0.0,4,1000m
4,"acer aspire 3 amd athlon silver 3050u dual-core processor 15.6"" (39.6 cms) laptop - (4 gb/1tb hdd/windows 10 home/amd radeon graphics /1.9kg/silver) a315-23",30535, ,https://m.media-amazon.com/images/I/713qk2mtM0L._AC_UY218_.jpg,Acer,amd athlon,0.0,1024.0,4,amd radeon
5,"hp 15 (2021) amd ryzen 3-3250 8 gb ram, 1tb hdd + 256gb ssd, 15.6 inches fhd screen, windows 10, ms office thin & light laptop, 1.82kg (15s-gr0012au)",42499,4.2,https://m.media-amazon.com/images/I/71SMr4ZGf1L._AC_UY218_.jpg,HP,ryzen 3,256.0,1024.0,8,intel integrated
6,"hp 14 (2021) 11th gen intel core i3 laptop with alexa built-in, 8gb ram, 256gb ssd, 14-inch (35.6 cm) fhd screen, windows 10, ms office, (14s- dy2501tu)",41890,4.2,https://m.media-amazon.com/images/I/71bJqS8ZLTL._AC_UY218_.jpg,HP,intel i3,256.0,0.0,8,intel integrated
7,"rdp thinbook 1010 - intel celeron quad core processor, 4gb ram, 64gb storage, windows 10 pro, 14.1” hd screen",19990, ,https://m.media-amazon.com/images/I/51C6EHkMQpS._AC_UY218_.jpg,RDP,intel celeron,0.0,0.0,4,intel integrated
8,"asus vivobook 14 (2020), 14-inch (35.56 cms) full hd, amd ryzen 3 3250u, thin and light laptop (4gb ram/1tb hdd/integrated graphics/windows 10/slate grey/1.6 kg), m415da-eb301t",31990,3.8,https://m.media-amazon.com/images/I/716bvqzz7PL._AC_UY218_.jpg,ASUS,ryzen 3,0.0,1024.0,4,intel integrated
9,"asus vivobook 15 (2020) intel core i3-1005g1 10th gen, 15.6"" (39.62cms) fhd thin and light laptop (8gb/512gb ssd + 32gb optane memory/office 2019/windows 10/silver/1.8 kg), x515ja-ej362ts",39990,4.2,https://m.media-amazon.com/images/I/71S8U9VzLTL._AC_UY218_.jpg,ASUS,intel i3,512.0,0.0,8,intel integrated
