,Title,Rating,Price,link,Company,Condensor Coil,Wi-Fi,Noise_Level,Power_Consumption,TON_value,split
0,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,35490.0,https://rukminim1.flixcart.com/image/312/312/kl421e80/air-conditioner-new/o/5/u/ar18ty5qawknna-split-samsung-inverter-original-imagyb23g9erhyzk.jpeg?q=70,SAMSUNG, Copper, No,52.0,1465.0,1.0,1
1,CARRIER 1 Ton 3 Star Split AC  - White,4.3,26990.0,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/air-conditioner-new/w/k/9/12k-3-star-ester-nx-split-ac-split-carrier-fixed-speed-original-imagyk2qxghpzsgg.jpeg?q=70,CARRIER, Copper, No,44.0,1195.0,1.0,1
2,CARRIER 2 Ton 3 Star Split AC  - White,4.2,38990.0,https://rukminim1.flixcart.com/image/312/312/ka73y4w0/air-conditioner-new/b/v/k/12k-3star-ester-neo-splt-ac-1-split-fixed-speed-carrier-original-imafrtmdxautvnbg.jpeg?q=70,CARRIER, Copper, No,32.0,980.0,2.0,1
3,ONIDA 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.3,31990.0,https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/t/x/z/ir185rho-1-5-split-dual-inverter-onida-original-imafnphfauxd5j8e.jpeg?q=70,ONIDA, Copper, No,46.0,1712.0,1.0,1
4,ONIDA 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.3,31990.0,https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/t/x/z/ir185rho-1-5-split-dual-inverter-onida-original-imafnphfauxd5j8e.jpeg?q=70,ONIDA, Copper, No,47.0,1390.0,1.0,1
5,LG Convertible 5-in-1 Cooling 1.5 Ton 3 Star Split Dual Inverter AC  - White,4.3,35990.0,https://rukminim1.flixcart.com/image/312/312/kl9rssw0/air-conditioner-new/u/r/a/ms-q18pnxa-split-lg-dual-inverter-original-imagyfvxgrfr7ygn.jpeg?q=70,LG, Copper, No,26.0,1050.0,5.0,1
6,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,4.1,36990.0,https://rukminim1.flixcart.com/image/312/312/klgx0280/air-conditioner-new/d/x/p/1-5t-flexichill-5s-copr-inv-split-whirlpool-inverter-original-imagyhgy37am2fwu.jpeg?q=70,Whirlpool, Copper, No,45.0,770.0,4.0,1
7,"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Brown",4.2,32990.0,https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/g/v/v/ar18ty3qbbr-1-5-split-samsung-inverter-original-imafwefyybhvyxh7.jpeg?q=70,SAMSUNG, Copper, No,52.0,1748.0,1.0,1
8,ONIDA 1.5 Ton 3 Star Split Dual Inverter AC  - White,4.3,28490.0,https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/t/x/z/ir185rho-1-5-split-dual-inverter-onida-original-imafnphfauxd5j8e.jpeg?q=70,ONIDA, Copper, No,45.0,1820.0,1.0,1
9,Daikin 1.5 Ton 5 Star Split Inverter with Anti Microbial Filter AC  - White,4.2,42990.0,https://rukminim1.flixcart.com/image/312/312/knoxnrk0/air-conditioner-new/3/6/g/ftkg60tv16u-rkg60tv16u-sps-split-daikin-inverter-original-imag2b4vdqhvfrwh.jpeg?q=70,Daikin, Copper, No,35.0,1415.0,1.0,1
10,Blue Star 1.5 Ton 3 Star Split AC  - White,4.3,33990.0,https://rukminim1.flixcart.com/image/312/312/km3s1ow0/air-conditioner-new/n/m/k/fs312ebtu-split-blue-star-fixed-speed-original-imagf2zpzhmvdxgh.jpeg?q=70,Blue, Copper, No,62.0,1124.0,1.0,1
11,"SAMSUNG 1 Ton 3 Star Split Inverter AC  - White, Blue1",4.2,28990.0,https://rukminim1.flixcart.com/image/312/312/kt7jv680/air-conditioner-new/e/m/u/ar12ty3qbbunna-ar12ty3qbbuxna-split-inverter-samsung-original-imag6hwykd3qrmtc.jpeg?q=70,SAMSUNG, Copper, No,54.0,1150.0,1.0,1
12,Blue Star 1.2 Ton 3 Star Split Inverter AC  - White,4.3,31990.0,https://rukminim1.flixcart.com/image/312/312/k51cpe80/air-conditioner-new/v/2/h/ic315aatu-1-2-split-inverter-blue-star-original-imafnt5gjzmjgkak.jpeg?q=70,Blue, Copper, No,40.0,1440.0,1.0,1
13,MarQ By Flipkart 1 Ton 3 Star Split AC  - White,4.2,21490.0,https://rukminim1.flixcart.com/image/312/312/kqe3low0/air-conditioner-new/a/l/h/fkac103sfaa-split-fixed-speed-marq-by-flipkart-original-imag4eykebqheg2d.jpeg?q=70,MarQ, Copper, No,39.0,958.0,1.0,1
14,"Whirlpool 1.5 Ton 3 Star Split AC  - White, Grey",4.1,28490.0,https://rukminim1.flixcart.com/image/312/312/klscivk0/air-conditioner-new/f/w/f/1-5t-magicool-elite-pro-3s-copr-split-whirlpool-fixed-speed-original-imagyuyfratkeyf5.jpeg?q=70,Whirlpool, Copper, No,36.0,1410.0,1.0,1
15,Whirlpool 1 Ton 3 Star Split Inverter AC  - White,4.2,26990.0,https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70,Whirlpool, Copper, No,42.0,1075.0,1.0,1
16,Whirlpool 1.5 Ton 5 Star Split Inverter AC  - White,4.2,34490.0,https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70,Whirlpool, Copper, No,43.0,1365.0,1.0,1
17,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,4.2,36800.0,https://rukminim1.flixcart.com/image/312/312/kay9bbk0/air-conditioner-new/z/p/g/185vjzjt-1-5-split-inverter-voltas-original-imafseqapycj8zru.jpeg?q=70,Voltas, Copper, No,46.0,1590.0,1.0,1
18,Daikin 1.5 Ton 3 Star Split Inverter with PM 2.5 Filter AC with PM 2.5 Filter  - White,4.2,36990.0,https://rukminim1.flixcart.com/image/312/312/ko7idu80/air-conditioner-new/f/e/s/mtkl50tv16v-rkl50tv16v-c-split-daikin-inverter-original-imag2px2ydtm934p.jpeg?q=70,Daikin, Copper, No,46.0,1752.0,1.0,1
19,MarQ By Flipkart 1.5 Ton 5 Star Window AC  - White,4.2,25490.0,https://rukminim1.flixcart.com/image/312/312/k9re3rk0/air-conditioner-new/v/j/c/fkac155sfwaca-1-5-window-fixed-speed-marq-by-flipkart-original-imafrhckfugfeqjc.jpeg?q=70,MarQ, Copper, No,35.0,1520.0,1.0,0
20,CARRIER 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,4.3,41990.0,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/air-conditioner-new/u/i/4/18k-5-star-ester-nxi-hybridjet-inverter-r32-split-ac-split-original-imagyk2qgejvdhas.jpeg?q=70,CARRIER, Copper, No,60.0,1500.0,4.0,1
21,Voltas 0.8 Ton 3 Star Split AC  - White,4.1,23790.0,https://rukminim1.flixcart.com/image/312/312/k5o7r0w0/air-conditioner-new/j/g/k/sac-103-dzx-0-8-split-fixed-speed-voltas-original-imafzavu7ufmsetd.jpeg?q=70,Voltas, Copper, No,46.0,826.0,3.0,1
22,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,35990.0,https://rukminim1.flixcart.com/image/312/312/knni7ww0/air-conditioner-new/m/l/v/ar18aynzbbe-split-samsung-fixed-speed-original-imag2ay7t8daqqhk.jpeg?q=70,SAMSUNG, Copper, No,44.0,1380.0,1.0,1
23,"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Blue",4.2,32990.0,https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/n/z/y/ar18ty3qbbu-sps-1-5-split-samsung-inverter-original-imafwefyhzztgtzg.jpeg?q=70,SAMSUNG, Copper, No,52.0,1748.0,1.0,1
24,"Godrej 1.25 Ton 3 Star Split Inverter AC  - White, Brown",4.2,29990.0,https://rukminim1.flixcart.com/image/312/312/k7p37gw0/air-conditioner-new/m/2/j/gic-15stc3-wta-1-25-split-inverter-godrej-original-imafpvjfptbzdvnx.jpeg?q=70,Godrej, Copper, No,29.0,898.0,1.0,1
25,Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,4.1,33990.0,https://rukminim1.flixcart.com/image/312/312/k73nlow0/air-conditioner-new/g/h/3/ls18i36fh-1-5-split-inverter-lloyd-original-imafpfygk7krh8uj.jpeg?q=70,Lloyd, Copper, No,42.0,1420.0,1.0,1
