,Title,Rating,Price,Link,Company,4k,Refresh_Rate,OS_name,Value_Audio,source,alexa,screen_size
0,SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,4.3,129990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,120.0, Tizen,40.0,flipkart,,
1,SAMSUNG The Frame 2021 Series 108 cm (43 inch) QLED Ultra HD (4K) Smart TV,4.3,63990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, Tizen,20.0,flipkart,,
2,LG 80 cm (32 inch) HD Ready LED Smart TV,4.4,17999,https://rukminim1.flixcart.com/image/312/312/kdyus280/television/g/d/q/lg-32lm565bpta-32lm565bpta-original-imafurgkdrjfggbw.jpeg?q=70,lg,0.0,50.0, WebOS,10.0,flipkart,,
3,Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,4.4,16999,https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/n/w/v/l32m5-al-mi-original-imag4967mvqvpvgp.jpeg?q=70,mi,0.0,60.0, Android,20.0,flipkart,,
4,Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,4.3,29999,https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/s/c/z/l43m4-4ain-mi-original-imag496eqghnqhpu.jpeg?q=70,mi,1.0,60.0, Android,20.0,flipkart,,
5,OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,18999,https://rukminim1.flixcart.com/image/312/312/kqidx8w0/television/m/1/v/32ha0a00-oneplus-original-imag4gy8yezxdhen.jpeg?q=70,oneplus,0.0,60.0, Android,20.0,flipkart,,
6,SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,4.3,18290,https://rukminim1.flixcart.com/image/312/312/kbs9k7k0/television/c/j/3/samsung-ua32t4340akxxl-original-imaft25qdysfsq7k.jpeg?q=70,samsung,0.0,60.0, Tizen,20.0,flipkart,,
7,SAMSUNG The Frame 2021 Series 138 cm (55 inch) QLED Ultra HD (4K) Smart TV,4.3,93990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,120.0, Tizen,40.0,flipkart,,
8,Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,4.3,24999,https://rukminim1.flixcart.com/image/312/312/kp4difk0/television/y/z/0/l40m6-ei-mi-original-imag3fbyhsdgxxke.jpeg?q=70,mi,0.0,60.0, Android,20.0,flipkart,,
9,Mi 4X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV,4.3,38999,https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/e/p/w/l50m5-5ain-mi-original-imag4969ybwxqwza.jpeg?q=70,mi,1.0,60.0, Android,20.0,flipkart,,
10,Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV,4.4,23999,https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/v/z/2/l40m5-5ain-mi-original-imag4968yrvft7qd.jpeg?q=70,mi,0.0,60.0, Android,20.0,flipkart,,
11,SAMSUNG The Frame 2021 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart TV,4.3,77990,https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70,samsung,1.0,60.0, Tizen,20.0,flipkart,,
12,Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,4.4,43999,https://rukminim1.flixcart.com/image/312/312/k7dnonk0/television/x/z/a/vu-50pm-50pm-original-imafpmrtnctj6qgz.jpeg?q=70,vu,1.0,60.0, Android,30.0,flipkart,,
13,realme 80 cm (32 inch) HD Ready LED Smart Android TV,4.3,16999,https://rukminim1.flixcart.com/image/312/312/kae95e80/television/f/6/y/realme-tv-32-original-imafrz79pweqeafh.jpeg?q=70,realme,0.0,60.0, Android,24.0,flipkart,,
14,Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart TV,4.3,44999,https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/e/p/w/l50m5-5ain-mi-original-imag4969ybwxqwza.jpeg?q=70,mi,1.0,60.0, Android Based,20.0,flipkart,,
15,Mi 5X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,3.9,41999,https://rukminim1.flixcart.com/image/312/312/ksoz53k0/television/j/n/i/l50m6-es-mi-original-imag6774eyhv77fg.jpeg?q=70,mi,1.0,60.0, Android,40.0,flipkart,,
16,TOSHIBA L50 Series 108 cm (43 inch) Full HD LED Smart TV with ADS Panel,4.3,24990,https://rukminim1.flixcart.com/image/312/312/kex5ci80/television/z/v/u/toshiba-43l5050-original-imafvh4nczqkuzzd.jpeg?q=70,toshiba,0.0,60.0, VIDAA,24.0,flipkart,,
17,Mi 4A Pro 108 cm (43 inch) Full HD LED Smart Android TV,4.4,26999,https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/d/a/j/l43m5-an-mi-original-imag4967gctacntj.jpeg?q=70,mi,0.0,60.0, Android,20.0,flipkart,,
