,title,description,date,price,img,path
0,8WYHG87 WATER PURIFIER TV AC   WATER FILTER RO  FREE PRE FILTER AND FI,8WYHG87 WATER PURIFIER TV AC   WATER FILTER RO  FREE PRE FILTER AND FITTINGS.  BRAND NEW PRODUCT FOR YOU AT LOWEST PRICE  ONE YEAR BRAND WARRANTY  CALL US NOW.  BOOK TODAY   HURRY UP!!! CASH ON DELIVERY [ cod ],2021-09-21T13:37:35+0000,"₹ 4,399",https://apollo-singapore.akamaized.net:443/v1/files/ue23ay8zqb3o2-IN/image,images/0.png
1,Samsung Side By Side French Door 600 L RefrigeratorFreezer working,Good quality.  Working Samsung Side By Side French Door 600 L Refrigerator and freezer with water dispenser.  Features:  Fridge  Freezer  Water Dispenser  Temperature Indicator  Ice Maker  Twin cooling  Child lock  Power freeze  Power cool  Perfectly working side by side samsung fridge. With a lot of space and huge capacity. Capacity is about 600 Litres. Contains ice maker and water dispenser.,2021-09-21T13:01:33+0000,"₹ 48,000",https://apollo-singapore.akamaized.net:443/v1/files/oatavcle1o37-IN/image,images/1.png
2,Samsung inverter 192ltr 1.5year old,Refrigerator,2021-09-21T12:18:39+0000,"₹ 8,000",https://apollo-singapore.akamaized.net:443/v1/files/lsf8vfqsp7rq-IN/image,images/2.png
3,Voltas WATER dispansar 3pcs,God candisan dispansar+ fridge sale karna he.3pcs he combo dene he,2021-09-21T11:55:18+0000,"₹ 4,000",https://apollo-singapore.akamaized.net:443/v1/files/3sdns1778cs91-IN/image,images/3.png
4,DD free dish lagwaye only 1250 me,DD free lagwaye sirf 1250 me Or dekhe 155 chanal bina recharge ke life free news all chanal or movie ke sony wah sony pal z anmol riste ciniplax bollywood all free chanal,2021-09-21T11:11:52+0000,"₹ 1,250",https://apollo-singapore.akamaized.net:443/v1/files/5heaayoy2nwc3-IN/image,images/4.png
5,11 months old,250 ltr double door perfect condition,2021-09-21T10:33:38+0000,"₹ 10,000",https://apollo-singapore.akamaized.net:443/v1/files/ilbngpuqe94q2-IN/image,images/5.png
6,Deep fridge/counter/hot case/chowien counterw,Good condition 1 yrs old reason  for sale is closed,2021-09-21T09:46:58+0000,"₹ 20,000",https://apollo-singapore.akamaized.net:443/v1/files/uq5h86dd0nhz1-IN/image,images/6.png
7,dscw4or7h WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FIT,dscw4or7h WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FITTINGS. ONE YEAR BRAND WARRANTY BRAND NEW PRODUCT FOR YOU AT LOWEST PRICE HURRY UP!!! CASH ON DELIVERY [ cod ] BOOK TODAY  CALL US NOW.,2021-09-21T09:29:18+0000,"₹ 3,499",https://apollo-singapore.akamaized.net:443/v1/files/0bvxaom5tu0s2-IN/image,images/7.png
8,rsdh34nbk WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FIT,rsdh34nbk WATER PURIFIER TV AC WATER FILTER RO FREE PRE FILTER AND FITTINGS. ONE YEAR BRAND WARRANTY BRAND NEW PRODUCT FOR YOU AT LOWEST PRICE HURRY UP!!! CASH ON DELIVERY [ cod ] BOOK TODAY  CALL US NOW.,2021-09-21T09:28:50+0000,"₹ 4,399",https://apollo-singapore.akamaized.net:443/v1/files/sapzadmc7k663-IN/image,images/8.png
9,100% 32 inch smart LED TV // Free Home Delivery // Cash on Delivery,All Types & Size Led Tv Availabale  Starting from 17'' to 55''  1 year warranty  Free wall stand  Home Delivery Availabale  Same Day Delivery  Cash On Delivery available  Shipping Charg EXTRA  Free demo before take payment,2021-09-21T09:09:27+0000,"₹ 10,499",https://apollo-singapore.akamaized.net:443/v1/files/hzzs8nkywohc2-IN/image,images/9.png
