,title,description,date,price,img,path
0,Iphone 8 (64gb) black in warranty.,"Iphone 8 (64gb) brand new condition,  Only phone i have .. battery health 91%..  tympassr stay away pls.",2021-09-26T18:30:28+0000,"₹ 21,200",https://apollo-singapore.akamaized.net:443/v1/files/n56wohbbup8r3-IN/image,images/0.png
1,Redmi 9a 11months old,All accessories hai bill Box charger no scratches no dent mint condition,2021-09-26T18:30:08+0000,"₹ 7,000",https://apollo-singapore.akamaized.net:443/v1/files/sak22ufpn39q-IN/image,images/1.png
2,iPhone 6 Space Grey,iPhone 6  16gb Space Grey colour Good condition,2021-09-26T18:26:53+0000,"₹ 5,000",https://apollo-singapore.akamaized.net:443/v1/files/u4pnl2e8au312-IN/image,images/2.png
3,Vivo v 17 pro 8 128,Vivo v17 pro 8 128 bill box ni h sirf charger hai condition new h id de dunga,2021-09-26T18:23:21+0000,"₹ 18,000",https://apollo-singapore.akamaized.net:443/v1/files/zozju7e647cg1-IN/image,images/3.png
4,Only Two months old 12 blue 64GB,"Only two months old, with showroom bill and box",2021-09-26T18:20:25+0000,"₹ 62,000",https://apollo-singapore.akamaized.net:443/v1/files/ehf11web00hg1-IN/image,images/4.png
5,Iphone x 64gb,iPhone X 64gb white colour 100% condition Face ID not working only bill charger argent money last 20k,2021-09-26T18:11:44+0000,"₹ 21,000",https://apollo-singapore.akamaized.net:443/v1/files/rjcy1zut81fn-IN/image,images/5.png
6,REDMI NOTE 5 PRO  6/64GB,Redmi note 5 pro EXCELLENT CONDITION EXCELLENT BATTERY BACKUP  BRAND NEW CONDITION   ONLY PHONE AVAILABLE,2021-09-26T18:08:35+0000,"₹ 8,000",https://apollo-singapore.akamaized.net:443/v1/files/anh6s0ho1wp73-IN/image,images/6.png
7,Iphone 7plus,iPhone 7plus 32gb only fingerprint not working only exchange,2021-09-26T18:08:11+0000,"₹ 15,000",https://apollo-singapore.akamaized.net:443/v1/files/x7cnqosrwsoe-IN/image,images/7.png
8,Iphone xs max 64 gb gold,"Iphone xs max 64 gb gold with 88% battery heath all are original with same imie number , earphones, charger, lighting cable , airphone connecter full accessories Available . Not a single scratch on iphone . Full original phone  You can check my phone with Apple service centre and UAG cover is free worst Rs 3500 . All things are working. Negotiations on visit  Thanks for your attention",2021-09-26T18:07:01+0000,"₹ 46,987",https://apollo-singapore.akamaized.net:443/v1/files/taop2ufgotgj1-IN/image,images/8.png
9,Model - Samsung A50,"2 Years Old, Condition Very Good, Rom- 64GB and Ram- 4 GB, With Original adapter, Box and Bill",2021-09-26T18:01:01+0000,"₹ 11,500",https://apollo-singapore.akamaized.net:443/v1/files/78ijk4na4ita2-IN/image,images/9.png
10,SALE 50% OFF APPLE IPHONE 8-64GB BOX PACK WITH SELLER WARRNTY,"Thank you for contacting PAL ENTERPRISES! Please let us know how we can help you.  SELL NEW IPHONES  FREE HOME DELIVERY  IPHONE 4S-16GB = 3499/- IPHONE 5S-16GB= 5999/- IPHONE 6S-64GB = 13500/- IPHONE 7-128GB = 17999/- IPHONE 8-64GB = 21999/- IPHONE 7PLUS=128GB=25999/- IPHONE X-64GB = 33000/- IPHONE XS-64GB =35000/-  # BOX PACK NEW IPHONES # 100% Orignal PRODUCTS # 3 MONTH SELLER WARRNTY  7️⃣8️⃣5️⃣2️⃣0️⃣8️⃣2️⃣5️⃣1️⃣8️⃣ STORE ADDRESS:- PAL ENTERPRISES  NEAR, ARTHALA METRO  STATION ,GHAZIABAD ,UP",2021-09-21T16:35:15+0000,"₹ 21,999",https://apollo-singapore.akamaized.net:443/v1/files/4t3qs0jv5y7o3-IN/image,images/10.png
