Title,Rating,Price,link,Specifications
SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"Rs. 35,490",https://rukminim1.flixcart.com/image/312/312/kl421e80/air-conditioner-new/o/5/u/ar18ty5qawknna-split-samsung-inverter-original-imagyb23g9erhyzk.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1465 W
,,,,Noise level: 52 dB
,,,,Wi-Fi Enabled: No
,,,,1 Year comprehensive and 10 years on Compressor
,,
MarQ By Flipkart 1 Ton 3 Star Split Inverter AC  - White,4.3,"Rs. 24,490",https://rukminim1.flixcart.com/image/312/312/kmgn0cw0/air-conditioner-new/x/b/d/fkac103siaa21-split-marq-by-flipkart-inverter-original-imagfc9cxm5hz8xf.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1195 W
,,,,Noise level: 44 dB
,,,,Refrigerant: R-32
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Years on Compressor from MarQ by Flipkart
,,
CARRIER 1 Ton 3 Star Split AC  - White,4.3,"Rs. 26,990",https://rukminim1.flixcart.com/image/312/312/klfhk7k0/air-conditioner-new/w/k/9/12k-3-star-ester-nx-split-ac-split-carrier-fixed-speed-original-imagyk2qxghpzsgg.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 980 W
,,,,Noise level: 32 dB
,,,,Refrigerant: R32
,,,,Wi-Fi Enabled: No
,,,,1 Year Warranty on Product and 5 Years on Compressor from Carrier
,,
CARRIER 2 Ton 3 Star Split AC  - White,4.2,"Rs. 38,990",https://rukminim1.flixcart.com/image/312/312/ka73y4w0/air-conditioner-new/b/v/k/12k-3star-ester-neo-splt-ac-1-split-fixed-speed-carrier-original-imafrtmdxautvnbg.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1712 W
,,,,Noise level: 46 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 52 degree C
,,,,Wi-Fi Enabled: No
,,,,1 Year Warranty on Product and 5 Years on Compressor
,,
ONIDA 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.3,"Rs. 31,990",https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/t/x/z/ir185rho-1-5-split-dual-inverter-onida-original-imafnphfauxd5j8e.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1390 W
,,,,Noise level: 47 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 58 degree C
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Year on Compressor from Onida
,,
LG Convertible 5-in-1 Cooling 1.5 Ton 3 Star Split Dual Inverter AC  - White,4.3,"Rs. 35,990",https://rukminim1.flixcart.com/image/312/312/kl9rssw0/air-conditioner-new/u/r/a/ms-q18pnxa-split-lg-dual-inverter-original-imagyfvxgrfr7ygn.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1050.84 kWh
,,,,Noise level: 26 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 52 DegreeC
,,,,Wi-Fi Enabled: No
,,,,"1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging"
,,
Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter AC  - White,4.1,"Rs. 36,990",https://rukminim1.flixcart.com/image/312/312/klgx0280/air-conditioner-new/d/x/p/1-5t-flexichill-5s-copr-inv-split-whirlpool-inverter-original-imagyhgy37am2fwu.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 770.5 W
,,,,Noise level: 45 dB
,,,,Refrigerant: R-32
,,,,Wi-Fi Enabled: No
,,,,"1 Year Warranty on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool"
,,
"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Brown",4.2,"Rs. 32,990",https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/g/v/v/ar18ty3qbbr-1-5-split-samsung-inverter-original-imafwefyybhvyxh7.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1748 W
,,,,Noise level: 52 dB
,,,,Wi-Fi Enabled: No
,,,,1 Year comprehensive and 10 years on Compressor
,,
ONIDA 1.5 Ton 3 Star Split Dual Inverter AC  - White,4.3,"Rs. 28,490",https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/t/x/z/ir185rho-1-5-split-dual-inverter-onida-original-imafnphfauxd5j8e.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1820 W
,,,,Noise level: 45 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 58 degree C
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Year on Compressor from Onida
,,
Daikin 1.5 Ton 5 Star Split Inverter with Anti Microbial Filter AC  - White,4.2,"Rs. 42,990",https://rukminim1.flixcart.com/image/312/312/knoxnrk0/air-conditioner-new/3/6/g/ftkg60tv16u-rkg60tv16u-sps-split-daikin-inverter-original-imag2b4vdqhvfrwh.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1415 W
,,,,Noise level: 35 dB
,,,,Refrigerant: R-32
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 10 Years on Compressor From Daikin
,,
Blue Star 1.5 Ton 3 Star Split AC  - White,4.3,"Rs. 33,990",https://rukminim1.flixcart.com/image/312/312/km3s1ow0/air-conditioner-new/n/m/k/fs312ebtu-split-blue-star-fixed-speed-original-imagf2zpzhmvdxgh.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1124.78 W
,,,,Noise level: 62.5 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 52 DegreeC
,,,,Wi-Fi Enabled: No
,,,,1 Year Warranty on Product and 5 Years on Compressor
,,
"SAMSUNG 1 Ton 3 Star Split Inverter AC  - White, Blue1",4.2,"Rs. 28,990",https://rukminim1.flixcart.com/image/312/312/kt7jv680/air-conditioner-new/e/m/u/ar12ty3qbbunna-ar12ty3qbbuxna-split-inverter-samsung-original-imag6hwykd3qrmtc.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1150 W
,,,,Noise level: 54 dB
,,,,Wi-Fi Enabled: No
