,title,description,date,price,img,path
0,Gopro hero 9 black,"Gopro hero 9 black One time use only till date, As amazing as new, with 2 hand bags and lots of mounts, chesty, wrist grip mount, tripod, adjustable selfie stick helmet mount, car mount and 2 high speed memory cards 128GB and 64GB, all the screens are completely tempered with tempered glass.",2021-09-17T15:29:35+0000,"₹ 40,500",https://apollo-singapore.akamaized.net:443/v1/files/b4zn66ajo4223-IN/image,images/0.png
1,Drone with camera,Drone seal pack not use,2021-09-17T15:06:33+0000,"₹ 1,900",https://apollo-singapore.akamaized.net:443/v1/files/nglmdgxifbh61-IN/image,images/1.png
2,Noise Play Action Camera,Action Camera with all the original accessories. Unused. Urgent Need Of Cash,2021-09-17T14:51:46+0000,"₹ 3,500",https://apollo-singapore.akamaized.net:443/v1/files/pd1p8asytpjy-IN/image,images/2.png
3,ANY SONY CAMERA AT BEST PRICE WITH BILL WARRANTY AND GUARANTEE,A7iii A7rmiii A7mii A9,2021-09-17T11:36:45+0000,₹ 111,https://apollo-singapore.akamaized.net:443/v1/files/tt0bafqo54nb-IN/image,images/3.png
4,Nikon 50mm 1.8D Sealed,Nikon 50mm 1.8D sealed pack with under two year warranty card,2021-09-17T11:11:54+0000,"₹ 6,400",https://apollo-singapore.akamaized.net:443/v1/files/mhf2g2h8fa003-IN/image,images/4.png
5,canon eos rp,body with mount and 2 batteries,2021-09-17T07:55:48+0000,"₹ 75,000",https://apollo-singapore.akamaized.net:443/v1/files/ubyvrhmf5u9i3-IN/image,images/5.png
6,D3500 Nikon,D3500 Nikon urgent sell bohut hee kam use kiya hua or edam badiya condition me hai camera lens changer SD card bag box sab kuch sath hai,2021-09-17T06:27:52+0000,"₹ 26,000",https://apollo-singapore.akamaized.net:443/v1/files/8z2vqejt0m7t2-IN/image,images/6.png
7,Nokon5100 DSLR Camera,"Nikon5100 DSLR camera in wonderful condition. Used for 2 years occasionally only and professional carry bag Lowepro, Box , bill everything available. Includes Nikon 18-105 mm lense with this camera. don't give shitty offers , if interested call.",2021-09-17T05:28:54+0000,"₹ 39,000",https://apollo-singapore.akamaized.net:443/v1/files/lf66lt433ydl-IN/image,images/7.png
8,Go Pro Hero 7 Black,Less used good position camera,2021-09-17T04:24:00+0000,"₹ 20,000",https://apollo-singapore.akamaized.net:443/v1/files/wdxz6j6pyqys-IN/image,images/8.png
9,yashica moterwind photo camera in punjab,yashica moterwind photo camera. location in punjab kapurthala,2021-09-17T01:52:40+0000,"₹ 1,999",https://apollo-singapore.akamaized.net:443/v1/files/h9bgebbo0htu3-IN/image,images/9.png
10,Canon 35mm RF mount lens for sale,Here is my 35mm RF mount 1.8 lens available out of warranty but still in mint condition 10/10. Fixed price,2021-09-16T18:16:38+0000,"₹ 32,000",https://apollo-singapore.akamaized.net:443/v1/files/nkgwvst65s0x-IN/image,images/10.png
11,Samyang 14M-C 14mm F2.8 Ultra Wide Angle Prime Canon DSLR Camera,Brand: Samyang Lens Type: Wide Angle Compatible Mountings : Canon EF Maximum Focal Length : 14MM Minimum Focal Length : 14MM Focus Type : Manual Focus Sensor : Full Frame Maximum Aperture : 2.8 f Minimum Aperture : 22 f,2021-09-16T18:02:08+0000,"₹ 18,500",https://apollo-singapore.akamaized.net:443/v1/files/dsf8xxtbt6wt-IN/image,images/11.png
12,Yashica m616,Vintage Branded Camera - Yashica (Made in Japan)  1.3.5  35mm,2021-09-16T16:00:31+0000,"₹ 3,500",https://apollo-singapore.akamaized.net:443/v1/files/6bh9b4qnig0g1-IN/image,images/12.png
13,D40 good condition,All accessories with bag,2021-09-16T14:16:51+0000,"₹ 11,500",https://apollo-singapore.akamaized.net:443/v1/files/udepyvmnxmeq3-IN/image,images/13.png
14,"One fusion plus, ram 6gb, rom 128gb, camera front 16mp/ rear 64mp.","Motorola one fusion plus, only 6 month used",2021-09-16T13:27:48+0000,"₹ 15,000",https://apollo-singapore.akamaized.net:443/v1/files/pnsuouefceoq2-IN/image,images/14.png
15,Unuse camra,Unuse camra,2021-09-16T13:18:32+0000,"₹ 2,500",https://apollo-singapore.akamaized.net:443/v1/files/vxe87w9emjx31-IN/image,images/15.png
16,Rare antique 1950's Agfa Synchro Box Camera,Rare antique 1950's Agfa Synchro Box Camera 120 mm in working condition,2021-09-16T11:39:48+0000,"₹ 5,000",https://apollo-singapore.akamaized.net:443/v1/files/k5nbkly3zpem-IN/image,images/16.png
17,Cp plus&Hikvision cctv camera and SPY Cameras available here,"HD CAMERAS HIKVISION OR CP PLUS AT REASONABLE PRICE GAURANTEED All OVER DELHI & NCR  4 CHANNEL HIKVISION/CP PLUS  4 cameras hikvision /cp plus  4 ch power supply  Wire 90 mtr  Hard disk  Bnc ,dc and hdmi cables  02 years manufacturer warranty  online Mobile view  We also dealing in  Spy camera  hidden voice recorder etc.  Cctv camera ,  Electronic door lock",2021-09-16T11:17:05+0000,"₹ 12,000",https://apollo-singapore.akamaized.net:443/v1/files/mi0f9a6lhbon-IN/image,images/17.png
18,Cp plus&Hikvision cctv camera and SPY Cameras available here,"HD CAMERAS HIKVISION OR CP PLUS AT REASONABLE PRICE GAURANTEED All OVER DELHI & NCR  4 CHANNEL HIKVISION/CP PLUS  4 cameras hikvision /cp plus  4 ch power supply  Wire 90 mtr  Hard disk  Bnc ,dc and hdmi cables  02 years manufacturer warranty  online Mobile view  We also dealing in  Spy camera  hidden voice recorder etc.  Cctv camera ,  Electronic door lock",2021-09-16T11:15:55+0000,"₹ 11,500",https://apollo-singapore.akamaized.net:443/v1/files/063m51slojls-IN/image,images/18.png
