,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,title,description,date,price,img,path
0,0,0,0,0,0,0,0,0,0,0,0,Dressing Drawer and study/laptop table with study almirah,Study table with books almirah Dressing drawers withseprte mirror,2021-09-24T03:25:29+0000,"₹ 5,000",https://apollo-singapore.akamaized.net:443/v1/files/fq22ierq0pt41-IN/image,images/0.png
1,1,1,1,1,1,1,1,1,1,1,1,New asus laptop / 4 gb ram and 1024 gb rom/with charger/fingerprint,I sell this laptop because I want to buy a new apple macbook air m1 chip / mujhe 25000 kam pad rahe hh,2021-09-24T00:43:59+0000,"₹ 24,000",https://apollo-singapore.akamaized.net:443/v1/files/ky6o4j3o8o4v2-IN/image,images/1.png
2,2,2,2,2,2,2,2,2,2,2,2,Asus vivobook flip 14 ( Touch screen) laptop,"Asus vivobook flip 14 are ready for sale... Only 10 month old laptop and still in warranty upto September 2022... I mainly used it for media consumption like Netflix and all, because I have my MacBook for my personal work... Key features of the laptop: * Ryzen 5 4500u processor... * 8GB ram expandable upto 16GB... * 512GB m.2 nvme superfast SSD... * Touch screen with stylus (good in graphics and tutoring things). * AMD radeon rx vega 6 graphics card...",2021-09-23T22:34:16+0000,"₹ 50,000",https://apollo-singapore.akamaized.net:443/v1/files/l7u9lenawvdy2-IN/image,images/2.png
3,3,3,3,3,3,3,3,3,3,3,3,NEW Ryzen 5 5600x Processor,"Brand new Amazon bill, box, cooler available. Unopened and sealed product. Bought for my pc but Selling due to money shortage. Selling at a loss Can ship all over india",2021-09-23T19:23:28+0000,"₹ 22,999",https://apollo-singapore.akamaized.net:443/v1/files/2i2wa4jys0hp1-IN/image,images/3.png
4,4,4,4,4,4,4,4,4,4,4,4,Macbook Air | i7 | 8GB | 1TB SSD | with windows,"Macbook Air  i7 | 8GB | 1TB SSD  With original windows installed through boot camp. (Not possible in M1 chip models)  Bought it on 10th March 2021 - 6 months old only Bought for 1,50,000/- with bill and original windows for 12,000/-  Note: a small bump is there on the body not even noticeable.  Price is fixed so plz don’t bargain.  If windows is not needed, I will reduce the price by 10,000/-",2021-09-10T05:21:23+0000,"₹ 1,10,000",https://apollo-singapore.akamaized.net:443/v1/files/eu6lfjw62oo11-IN/image,images/4.png
5,5,5,5,5,5,5,5,5,5,5,5,{4GB RAM+320GB HDD+16INCH LED+CPU} NEW CORE2DUO COMPUTER=1 Yr WARRANTY,"BRANDED NEW CORE2DUO COMPUTER WITH 1 YEAR WARRANTY ALL PARTS BILL CARD.  NEW BOX PACKED 16INCH L.E.D. MONITOR.  NEW ZEBRONICS KEYBOARD & MOUSE,CABLES.  G41 ASUS BRANDED MOTHERBOARD.  BRANDED INTEL CORE2DUO 3.00GHZ HIGH SPEED PROCESSOR LATEST GRAPHICS.  BRANDED 2GB GRAPHIC MEMORY INBUILT.  BRANDED INTEL BRANDED FAN.  BRANDED 4GB RAM DDR3 SAMSUNG.  BRANDED 320GB HARD DISK SATA SEAGATE.  BRANDED NEW ZEBRONICS CABINET+ POWER SUPPLY.  WINDOW 7, 10 ULTIMATE 64BIT INSTALLED.  ALL APPLICATION SOFTWARE INSTALLED FREE.  CASH ON HOME DELIVERY AVAILABLE IN 2 HOURS.  MORE DETAIL'S:- WHATSAPP NUMBER 88001''''64114..  CALL NOW=72919''''63226 SUMIT CHAUHAN.",2021-09-17T13:26:53+0000,"₹ 8,499",https://apollo-singapore.akamaized.net:443/v1/files/t28k01dtdsdg2-IN/image,images/5.png
6,6,6,6,6,6,6,6,6,6,6,6,Sony Vio Premium Series Laptop i5-2G/4/256/15.6&quot;/1 Month Warranty,"Sony Vio Premium Series Laptop  Intel Core i5-2G processor 4gb Ram 256gb SSD 15.6"" LED HD Display 1 Month Warranty",2021-09-21T12:11:05+0000,"₹ 19,500",https://apollo-singapore.akamaized.net:443/v1/files/72vknqm3ieq5-IN/image,images/6.png
7,7,7,7,7,7,7,7,7,7,7,7,Macbook Pro 16' (Latest) with Dbrand Skin,"Selling my Macbook pro 16"" in mint condition. 2.6GHz 6-core 9th-generation Intel Core i7 processor  Turbo Boost up to 4.5GHz  AMD Radeon Pro 5300M with 4GB of GDDR6 memory  16GB of 2666MHz DDR4 memory 512GB of SSD storage¹ 16-inch Retina display with True Tone  Magic Keyboard  Touch Bar and Touch ID  Four Thunderbolt 3 ports  Mint condition.  With original Dbrand skin Genuine buyers only.  Im not a dealer. It is my personal Macbook.",2021-09-23T18:50:59+0000,"₹ 1,45,000",https://apollo-singapore.akamaized.net:443/v1/files/bkkjwn2wr8tv3-IN/image,images/7.png
8,8,8,8,8,8,8,8,8,8,8,8,manufacturer Laptop study table. from tilak nagar to 3 km.delivery fre,"turer Laptop study table. from tilak nagar to 3 km.delivery free rate fix hai rate kam karne ke liye mat bolna table ka size 12×24×9 inch. 5 model available. 400/-₹, 500/-₹, 700/-₹, 800/-₹",2021-09-23T17:57:14+0000,₹ 400,https://apollo-singapore.akamaized.net:443/v1/files/yco41j0x7d0k1-IN/image,images/8.png
9,9,9,9,9,9,9,9,9,9,9,9,Acer aspire laptop,Core i3 processor 4 GB ram 500 GB hard disk Battery issue,2021-09-23T16:47:34+0000,"₹ 12,000",https://apollo-singapore.akamaized.net:443/v1/files/42gr2486mxcb3-IN/image,images/9.png
